rank,train_profit,train_roi_pct,train_n_bets,train_win_rate_pct,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
baseline,-94.6,-17.49,499,28.06,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,130.11,10.83,1201,31.31,0.0,1975.0,1.3,2.0,2.7,0.9,2.2,5.7,7.1000000000000005,3.7,2.0,2
2,129.15,11.58,1115,31.3,0.0,1925.0,1.35,2.2,2.65,0.7,2.2,5.7,7.2,3.8,2.0,2
3,128.01,10.78,1187,31.09,0.0,1900.0,1.1,2.2,2.6,0.8,2.2,6.0,7.2,3.7,2.0,2
4,125.43,10.55,1189,31.03,0.0,1925.0,1.3,2.1,2.7,0.9,2.1,5.7,6.9,3.7,1.9000000000000001,2
5,125.36,11.23,1116,31.18,0.0,1900.0,1.4,2.2,2.6,0.8,2.2,5.6,7.0,3.8,2.0,2
6,125.28,14.5,864,32.99,0.0,1925.0,1.35,2.05,2.65,0.9,2.4000000000000004,5.4,7.1000000000000005,4.2,2.0,2
7,124.79,14.58,856,33.06,0.0,1775.0,1.45,2.05,2.7,0.9,2.8,5.800000000000001,7.1000000000000005,4.2,1.9000000000000001,3
8,124.69,10.67,1169,31.39,5.0,1950.0,1.35,1.95,2.7,0.8,2.1,5.300000000000001,6.9,3.7,2.0,2
9,124.35,11.25,1105,31.58,5.0,1975.0,1.3,1.95,2.7,0.8,2.2,5.7,7.3,3.8,1.9000000000000001,2
10,124.31,11.4,1090,31.28,5.0,2000.0,1.3,2.05,2.7,0.9,2.2,5.9,7.3,3.8,2.0,2
11,124.31,14.59,852,32.98,0.0,1775.0,1.35,2.05,2.7,0.9,2.4000000000000004,5.7,6.9,4.2,2.0,2
12,124.27,11.08,1122,31.19,0.0,1925.0,1.3,2.1,2.7,0.9,2.3,5.7,7.2,3.8,1.9000000000000001,2
13,123.83,14.4,860,32.91,0.0,1850.0,1.35,2.05,2.7,0.9,2.4000000000000004,5.7,7.1000000000000005,4.2,2.0,2
14,123.65,14.12,876,33.11,0.0,1900.0,1.4,2.0,2.65,0.8,2.6,5.6,6.9,4.2,2.0,2
15,123.31,11.3,1091,31.26,5.0,2000.0,1.3,2.05,2.7,0.9,2.1,5.9,7.1000000000000005,3.8,1.9000000000000001,2
16,122.82,14.4,853,33.18,5.0,1950.0,1.3,2.0,2.6,0.8,2.3,5.4,7.1000000000000005,4.2,2.0,2
17,121.7,11.1,1096,31.39,5.0,1950.0,1.35,2.0,2.65,0.7,2.4000000000000004,5.300000000000001,7.2,3.8,2.0,2
18,121.68,10.85,1121,31.13,0.0,1925.0,1.35,2.05,2.7,0.9,2.3,5.5,7.2,3.8,1.9000000000000001,2
19,121.43,10.18,1193,30.93,0.0,1925.0,1.3,2.05,2.7,0.9,2.1,5.800000000000001,6.7,3.7,1.9000000000000001,2
20,121.35,10.95,1108,31.5,5.0,1975.0,1.5,1.95,2.7,0.9,2.2,5.6,6.9,3.8,1.9000000000000001,2
